ingresos_ventas,activos,utilidad_neta,liquidez_corriente,ruc,certificada,nombre
4454534.88,5831414.42,42176.34,0.78,0790095758001,0.0,EXPORTADORA CAMARONERA MARCO WILCHES C. LTDA.
36758729.73,1489159.02,11699.5,1.065,0790101111001,0.0,GRUCAM CIA. LTDA.
490669.08,503237.04,11699.5,1.065,0791708036001,0.0,IMPORTADORA Y EXPORTADORA EMILIO NAGUA EMINAG CIA. LTDA.
3283292.57,3905395.76,281016.36,0.97,0791715733001,0.0,INVERSIONES PESQUERA ABRICMAR CIA. LTDA.
4206520.93,3552002.39,177341.12,1.53,0790095391001,0.0,LANGOSTINOS CAROLFA C. LTDA.
10193451.54,3345897.91,-47612.4,2.27,0790096258001,0.0,ESCAVI CIA. LTDA.
1617803.14,572182.89,11699.5,1.065,0992383658001,0.0,LIFAVA S.A.
31932549.6,44795601.23,4066936.86,1.07,0791719208001,0.0,EMCAMEX S.A.
4388691.35,6265331.47,68379.58,1.01,0791723256001,0.0,EXCELLAQUA S.A.
10035058.43,14228799.83,-584694.22,0.91,0791724112001,0.0,EXPLOMARSA S.A.
220618.2,938286.39,11699.5,1.065,0791725046001,0.0,JEKESA S.A.
5849372.03,1713886.99,11699.5,1.065,0790096983001,0.0,BANACOR S.A
31500.0,40422.46,11699.5,1.065,0790100158001,0.0,CAMARONERA EL CAPITAN (CECASA) S.A.
5713688.1,7831037.74,11699.5,1.065,0790100786001,0.0,LANGOSTINO S.A. (LANCONOR)
911710.86,461822.45,11699.5,1.065,0790152123001,0.0,FRILARVAS S.A.
160587182.61,110270260.57,16672823.27,2.51,0990881847001,0.0,ALIMENTSA S.A
840167.88,43855.36,11699.5,1.065,0990886091001,0.0,PRODUCTOS FRESCOS DEL MAR PROFREMAR S.A
8585319.91,13065731.28,110546.83,0.63,0990900418001,1.0,AQUACULTURA PUROCONGO S.A
5038372.92,3052007.84,565074.78,2.86,0990842949001,0.0,GILCAM 86 SA
209026825.05,210291195.74,25968569.19,1.19,0990844208001,0.0,NATURISA S. A.
5020301.55,3560500.09,857005.72,0.63,0990856125001,0.0,CASUR S. A.
4556498.37,7713825.94,652765.33,5.66,0990754519001,0.0,AQUA-GEN S.A.
32400.0,9664.81,11699.5,1.065,0990725748001,0.0,CAMARONERA ZULLI SA
399224.14,193825.44,11699.5,1.065,0990746753001,0.0,INVERALTO SA
7857274.28,1926912.37,11699.5,1.065,1791272331001,0.0,SOCIEDAD CAMARONERA CAYANCAS S.A. SOCCASA
1594470.92,1016160.86,40787.0,8.78,0791745985001,0.0,PROMARLIA S. A.
5531065.81,6674534.76,-2357820.04,0.73,0992664967001,0.0,MACROBIO S.A.
5776728.64,8823630.86,497442.19,5.5,0990948038001,0.0,PANTRUSKO S.A.
1755806.0,1646698.0,236040.0,2.86,0990925682001,0.0,MARINA DEL REY (MARDEREY) S.A.
188900.29,51143.49,11699.5,1.065,1791167449001,0.0,PROMOTORA RAMSIX CIA. LTDA.
2792090.83,5969344.5,-775333.29,0.52,0992667591001,0.0,UZCATIMPORT S.A.
50758.35,4100010.2,-122327.61,126.95,0992671548001,0.0,EXPORMEKSA S.A.
120.0,856.95,12.0,214.23,0992669306001,0.0,PAYAXCORP S.A.
273424.68,74380.3,11699.5,1.065,0990270899001,0.0,CORPACU S.A.
442863.36,32212.58,11699.5,1.065,0991094083001,0.0,JOPISA S.A.
1760676.9,6656060.48,81017.59,1.27,0990968349001,0.0,CAMARONERA SAN JOSE S.A. (SANJOCAMAR)
1432305.87,719545.26,26675.84,1.01,0791745446001,0.0,OCEANMARKET S.A.
387338.83,237005.14,-39075.31,0.96,0791745136001,0.0,CAMARONERA GUAJABAL S.A.
136198.66,286599.43,409.29,1.18,0791747430001,0.0,BIOCEAN S.A.
530497.22,473508.31,20832.31,5.58,0992669527001,0.0,COTELOCORP S.A.
1870678.71,1306115.87,87002.33,1.48,2490003285001,0.0,DEONES S.A.
4238662.91,155383.17,11699.5,1.065,0991213643001,0.0,PROFIAGRO S.A.
13700747.7,9502648.28,11699.5,1.065,0991324267001,0.0,MODERCORP S.A.
4616749.62,7022914.46,-151846.95,2.35,0991318585001,0.0,TONSNA S.A.
6283241.14,4264170.26,-384763.27,3.49,0991301208001,0.0,PLUMONT S.A.
3125962.75,5529295.97,-261789.21,1.47,0991266402001,0.0,AQUACULTURA TROPICAL S.A. AQUATROPICAL
2507564.21,4510961.75,41693.44,55.26,0991401164001,0.0,CHALEMAR S.A.
5217074.97,3427993.28,258248.42,3.78,0991367152001,0.0,NAVARONE S.A.
640062.5,849840.05,11699.5,1.065,0991339124001,0.0,MABIMPORT S.A.
90289.94,36580.47,11699.5,1.065,0991361278001,0.0,NARCE S.A.
391907.96,38683094.87,2649148.08,3.58,0991359354001,0.0,GRUBER S.A.
154560518.42,86022569.12,2053748.12,1.04,0991329331001,1.0,COFIMAR S.A.
4094186.78,6067950.99,-188805.11,0.18,0991445501001,0.0,SOLCAPITAL S.A.
752644.13,1012534.64,1019.89,0.79,0991406352001,0.0,CAMARONERA FLAMINGOCORP S.A.
1326035.81,2493452.82,47418.21,0.8,0791741726001,0.0,AGROBANASA S.A.
2457033.02,929437.34,54477.57,0.0,0791746175001,0.0,D.T.R. IMPORTADORA Y EXPORTADORA S. A.
414695.35,291767.01,-2992.09,0.76,0791746213001,0.0,PESQUERA ALIMPAC CIA. LTDA.
2037082.7,652111.6,11699.5,1.065,0991508627001,0.0,MAXILARVA S.A.
37368.0,79981.5,11699.5,1.065,0991472827001,0.0,SOUTH AMERICA TROPICAL FRUITS & VEGETABLES SOUTHTROPICAL S.A.
454408.75,4038431.19,39736.84,0.7,0791728797001,0.0,ROCORMIN CIA. LTDA.
30449732.5,68710687.71,1990053.15,0.52,0791728495001,0.0,PRODUCTOS DE EXPORTACION DIOMAR PROEXDI CIA. LTDA
2961178.72,84698.06,11699.5,1.065,0791728517001,0.0,MARRICO CIA. LTDA.
242293.73,488315.72,-94059.18,0.69,0791728843001,0.0,AGROCOMERCIAL ORENSE S.A. AGROCMOR
10592362.39,16673180.75,286188.93,1.34,0791730015001,0.0,FRUTAMARTI S.A.
4971352.78,9016735.93,132985.12,1.55,0791730007001,0.0,CAMORENSA S.A.
5602550.32,3295678.95,-538450.15,0.96,0791730716001,0.0,SAFARIMAR S.A.
1512479.59,1027222.49,17025.53,1.27,0791730651001,0.0,SOCIEDAD VIRGEN DEL CARMEN CIA. LTDA. CARMENVI
512635.65,314825.01,1804.75,1.01,0791731461001,0.0,CAMARONERA SHEN CHANG S.A.
499890.01,1557104.67,-7698.2,2.3,0791731054001,0.0,COMERCIALIZADORA JOSE LOARTE CIA. LTDA.
2148814.94,1093485.51,103099.24,1.3,0791731879001,0.0,COSTAMAR S.A.
1359598.86,2380454.13,-4568.51,4.42,0791732506001,0.0,SAMLIT C.A.
3674792.21,3205882.55,156112.54,8.51,0791732441001,0.0,VANECUBRI S.A.
21010910.81,30112907.54,564986.82,0.76,0791732913001,0.0,EXPORCAMBRIT S.A.
1393506.85,936005.18,36715.61,1.32,0791737559001,0.0,NUTRIFEED S.A.
1618710.95,827824.44,-64085.56,1.67,0791741920001,0.0,ALIMARKET S. A.
723936.76,436794.31,6588.31,0.45,0791733782001,0.0,ACUAMERIDA C. LTDA.
562253.5,941912.3,-4949.73,1.58,0791734282001,0.0,SEGAMAR CIA. LTDA.
1161315.58,701078.33,53052.89,1.87,0791734800001,0.0,MARJOFRAN CIA. LTDA.
1515797.4,560873.8,79250.24,3.14,0791734797001,0.0,CORPIECAM CIA. LTDA.
1308326.84,1072949.99,76339.26,0.98,0791735998001,0.0,CAMARONERA EXCAM S.A.
2561357.04,1051231.06,103605.86,1.69,0791736196001,0.0,ACUAFAGABE CIA. LTDA.
1918606.29,1046419.93,-21523.91,0.64,0791738164001,0.0,ACUINAVI CIA. LTDA.
739212.96,556439.09,19690.36,3.21,0791738601001,0.0,SEGACOR CIA. LTDA.
150.0,32488.48,65.84,541.47,0791738857001,0.0,GALLARDI S.A.
655308.14,337397.26,-34793.65,0.58,0791738989001,0.0,INDUSTRIAL CAMARONERA FEI-PAST ICAFEIPAST CIA. LTDA.
1029924.37,482191.28,12263.31,1.06,0791739551001,0.0,CAMARONERA HNOS. GUZMAN PAZMIÑO CIA. LTDA.
316379.45,315294.85,8686.18,1.6,0791739810001,0.0,HILUSA S.A.
465392.3,236157.4,-109157.52,0.88,0791741815001,0.0,CAMARDELIA CIA. LTDA.
1405109.05,1187463.87,45056.22,1.55,0992638907001,0.0,SEMBRIOS MARINOS S. A. SEMBRIOMAR
280789.85,174528.79,12171.09,11.44,0791740320001,0.0,CAMARONERA ALICIA S.A. CAMARLICIA
173104.82,507889.16,-278929.54,0.85,0791740622001,0.0,JUVEGRAN CIA. LTDA.
785807.02,672558.86,8591.11,8.54,1191734358001,0.0,VALDIMAR S.A.
1010651.1,298641.27,7021.58,1.09,1191734382001,0.0,AGRIMAR S.A.
2326702.66,3458602.95,224089.77,0.76,0791726867001,0.0,SHRIMPKING S.A.
2058825.56,9713069.83,-213694.38,1.42,1391751737001,0.0,CORPORACION ARAY ARAY BIOARAY S.A.
99915.33,1951.76,-592.77,1.065,0791746892001,0.0,CAMARONERAS ANHELO CIA. LTDA.
6490.0,113052.52,117.63,0.0,0791746531001,0.0,CAMARDUT S.A.
233774.09,1557549.31,-53922.49,3.8,0992702435001,0.0,NEXCROME S.A.
182160.0,503322.08,-3275.9,5.21,0992139501001,0.0,PRODUCTORA DE LARVAS Y MADURACION S.A. (PROLAMARSA)
2252862.81,1096955.86,4194.47,0.57,0992126345001,0.0,INDUSTRIAL PESQUERA SAN ROLANDO S.A. SANROLSA
2543701.32,36970441.2,550891.86,0.5,0992126744001,0.0,AGRICOLA AGROGUAYAS S.A.
4258892.0,5775514.49,82309.75,1.53,0992128526001,0.0,DELAI S.A.
171938.02,284379.87,13438.16,0.04,0992122560001,0.0,KUBRICSA S.A.
940951.9,276580.55,29402.85,0.71,0992124318001,0.0,FOISECORP S.A.
11660.0,110628.07,-7202.1,1.46,0992106980001,0.0,LABORATORIOS Y CRIADEROS MARINOS LACRIMAR S.A.
1642136.4,491561.16,46182.25,1.26,0992109262001,0.0,PIRAMILAB S.A.
71572.16,654469.86,-629.65,0.44,0992111585001,0.0,EBEKO S.A.
10308676.51,11120928.6,636142.73,0.88,0992103299001,0.0,TECNOTEMPE S.A.
4120084.11,3944989.16,444022.04,1.28,0992212845001,0.0,AZAKTILSA S.A.
403815.09,1172575.65,21354.86,0.69,0992171863001,0.0,LEGATORIE S.A.
26943534.8,27151795.66,2464556.74,1.64,0992177373001,0.0,CORPORACION LANEC S.A.
50.0,68731.53,39.0,4.12,0992165758001,0.0,METOLIMP S.A.
1063432.11,2598565.48,-166242.08,1.77,0992151617001,0.0,ROGMAR S.A.
2640773.2,1491666.92,-125155.98,0.98,0992151153001,0.0,BADESA S.A.
755567.17,947141.1,38072.42,0.89,0992183756001,0.0,JENFEL S.A.
1.14,2138247.04,-114053.18,0.02,0992174196001,0.0,GERLISA S.A.
575418.21,366786.89,20267.18,1.08,0992267534001,0.0,PISCINAS Y CULTIVOS DEL MAR S.A. PISCUMAR
14408993.53,12160005.67,697754.54,1.11,0992265191001,0.0,CEMARSA S.A.
1105889.31,341586.62,15574.32,1.69,0992267550001,0.0,CAMARONERA PRIMAVERA S.A. CAMPRI
127100.31,384094.33,106225.41,1.13,0992268417001,0.0,SISBROCORP C. LTDA.
274191.56,185316.07,2965.14,1.58,0992278927001,0.0,CAMARICULTURA LINA S.A.
138600.0,45830.08,-17248.03,2.96,0992270071001,0.0,MARTUNA S.A.
3829771.13,2588666.5,67240.7,0.85,0992270446001,0.0,"JESUS DEL GRAN PODER, J.D.G.P. S.A."
278100.4,2248038.88,-417585.66,0.69,0992288159001,0.0,STOPCORP S.A.
2316079.34,1999956.38,-13649.89,4.08,0992249447001,0.0,'' BIOCENTINELA S.A. ''
330.51,272055.95,-18530.5,0.69,0992249978001,0.0,TELDAZ S.A.
502580.0,424090.03,9069.51,12.63,0992252472001,0.0,CABANI S.A.
1031195.54,1262840.11,42404.65,1.12,0992242930001,0.0,ARENAFAM S.A.
39525.6,459093.07,1278.21,4.19,0992239069001,0.0,ACUAQUIN S.A.
250000.0,7757701.02,52360.59,1.51,0992210028001,0.0,BALAOMAR S.A.
1930.0,4933.55,-1.47,3356.15,0992218282001,0.0,ATLANSA S.A.
4783814.64,2875922.21,274760.64,2.77,0992218622001,0.0,ICHIBAN S.A.
57600.0,2860272.47,1235.86,11.2,0992329912001,0.0,VIERI S.A.
7592.1,1330.7,11699.5,1.065,0992315326001,0.0,QUALITYCOMPANY S.A.
